author_or_subject,representative_work,type,source_url,rights_status,doctrinal_fit,calvinism_note,recommended_app_action,notes
Benjamin Keach,The Travels of True Godliness,Allegory / Christian living,https://archive.org/details/travelsoftrueg00keac,Public domain candidate - OCR review needed,Historical / Use Carefully,Particular Baptist and Calvinistic; do not make a core doctrinal recommendation without notes,Review OCR before import,"Useful Baptist history and allegory candidate, but the available OCR begins with messy front matter. Keep in review until readable text is confirmed."
Benjamin Keach,Spiritual Melody,Hymns,https://archive.org/details/bim_early-english-books-1475-1640_spiritual-melody-_keach-benjamin_1691,Public domain candidate - OCR review needed,Historical / Use Carefully,Particular Baptist and Calvinistic; hymn value is historical,Review source quality before import,"Potential Baptist hymn-history resource. Early English Books OCR and spelling may need heavy cleanup."
John Rippon / Isaac Watts,The Psalms and Hymns of Dr. Watts arranged by Dr. Rippon,Hymnal / Baptist worship history,https://archive.org/details/psalmshymnsofdrw00watt,Public domain candidate - OCR review needed,Historical / Use Carefully,Includes Baptist hymn tradition; review individual hymns before recommendation,Review OCR before import,"High-value Baptist hymn-history candidate. Internet Archive page lists 1839 publication and possible copyright status NOT_IN_COPYRIGHT, but OCR quality should be sampled before public reading."
John Fawcett,Hymn background for Blest Be the Tie That Binds,Hymn story / illustration,https://www.gutenberg.org/ebooks/56480,Verified public domain,Reviewed,Not a Calvinism-centered resource,Imported,"Hymns in Human Experience includes hymn stories useful for sermon illustrations and worship background."
Classic hymn writers,Hymn Stories of the Twentieth Century,Hymn story / illustration,https://www.gutenberg.org/ebooks/56479,Verified public domain,Reviewed,Not a Calvinism-centered resource,Imported,"Additional William J. Hart hymn-story volume imported for sermon illustrations, worship background, and devotional applications."
Anne Steele,England's first woman hymn-writer background,Hymn story / biography,https://www.gutenberg.org/ebooks/33998,Verified public domain,Reviewed,Not a Calvinism-centered resource,Already imported,"The Story of Our Hymns includes useful Anne Steele background. Add direct Anne Steele primary-source texts only after clean source review."
Charles Wesley,The Poetical Works of John and Charles Wesley,Hymns / poetry,https://archive.org/details/poeticalworksofj01wesl,Public domain imported set,Historical / Use Carefully,Arminian Methodist perspective; useful counterbalance to Calvinistic hymn writers,Already imported,"Keep as historical hymn and poetry collection. Use with clear labels where doctrine differs from Baptist convictions."
John Wesley,The Works of the Rev. John Wesley,Historical theology / sermons,https://archive.org/details/worksofrevjohnwe16wesl,Public domain imported set,Historical / Use Carefully,Arminian Methodist perspective; not Baptist,Already imported,"Useful historical and devotional material with clear labels. Do not use as Baptist doctrine authority."
George Whitefield,Works of George Whitefield,Revival sermons / preaching,https://www.gutenberg.org/ebooks/68976,Verified public domain imported set,Historical / Use Carefully,Calvinistic Methodist; use for Gospel zeal and revival history with notes,Already imported,"Strong preaching history and revival material. Keep labels clear so users understand doctrinal differences."
William Carey,Life and missionary writings,Missions / biography,https://www.gutenberg.org/ebooks/2056,Verified public domain imported material,Reviewed,Particular Baptist background; use missions material without centering Calvinism,Already imported,"Strong missions path candidate. Good for missionary burden and Baptist history."
Adoniram Judson,The Life of Adoniram Judson,Missions / biography,https://www.gutenberg.org/ebooks/55269,Verified public domain imported material,Reviewed,Baptist missionary; not a Calvinism-centered resource,Already imported,"Strong missionary biography and Sunday School missions resource."
Isaac Watts,Works of Isaac Watts,Hymns / theology,https://archive.org/details/worksofrevisaa01watt,Public domain imported starter volume,Historical / Use Carefully,Non-Baptist; some theology should be reviewed before recommendation,Continue collection review,"Already has one volume in the app. Consider adding clean hymn-focused resources before full theological works."
John Newton,Amazing Grace and hymn-story background,Hymn story / biography,https://www.gutenberg.org/ebooks/56480,Verified public domain via hymn-story source,Historical / Use Carefully,Evangelical Anglican; not Baptist,Use as hymn-story source,"Use for testimony and hymn illustration material. Add direct Newton works only from clean public-domain sources."
Augustus Toplady,Rock of Ages hymn background,Hymn story / biography,https://www.gutenberg.org/ebooks/33998,Verified public domain via hymn-story source,Historical / Use Carefully,Strong Calvinist; avoid core recommendation if user wants less Calvinism,Keep as historical reference,"Use only for hymn history unless a specific work is reviewed and intentionally labeled."
John Gill,Exposition and Body of Divinity,Commentary / theology,TBD,Public domain candidate,Historical / Use Carefully,Strong Particular Baptist Calvinist; user requested less Calvinism,Do not prioritize now,"Valuable historically but not the best next addition if the app is trying to avoid Calvinistic emphasis. Keep in historical/commentary review."
Thomas Crosby,History of the English Baptists,Baptist history,TBD,Public domain candidate,Historical / Use Carefully,Baptist history rather than devotional doctrine,Find clean source,"High-value Baptist history target. Locate a clean full-view source before import."
Hanserd Knollys,Selected works / Baptist history,Baptist history,TBD,Public domain candidate,Historical / Use Carefully,Early Particular Baptist; likely Calvinistic,Find clean source,"Important Baptist historical figure. Treat as historical primary-source material, not core devotional recommendation."
Peter Masters,Modern Metropolitan Tabernacle books and sermons,Modern ministry resources,https://metropolitantabernacle.org/,Copyrighted / Permission Needed,Needs Review,Contemporary Reformed Baptist; user requested less Calvinism,Do not import without permission,"Modern author. Only official links or excerpts if written permission is granted."
