priority,target,send_from,contact_hint,resource_request,first_email_subject,first_ask,status,next_step,notes
1,Known local pastors and Bible teachers,hello@fathersbusinessmasteryresources.com,personal contact list,"One sermon outline, lesson note set, or audio sermon","Permission question for Father's Business Bible Study","Private beta permission for one sample sermon or lesson with attribution and optional official link",Draft,"Pick 3 people Stephen knows and send the short author/ministry email","Warm trust path; best first test of the permission workflow."
2,Way of Life Literature / David Cloud,hello@fathersbusinessmasteryresources.com,official ministry contact form,"KJV, Baptist doctrine, Bible encyclopedia, church issues, apologetics","Permission question for Father's Business Bible Study","Metadata and official links first; one approved excerpt or sample chapter if allowed",Draft,"Ask for the correct permissions process before requesting full text","Do not import any text publicly without written approval."
3,Thru the Bible / J. Vernon McGee,hello@fathersbusinessmasteryresources.com,official contact page,"Bible teaching notes, transcripts, audio teaching","Permission question for Father's Business Bible Study","Ask who handles app text, transcript, and audio licensing separately",Draft,"Request rights contact and process for one selected book or transcript set","Audio rights must be handled separately."
4,Kregel Publications,hello@fathersbusinessmasteryresources.com,official contact/rights path,"Bible study, commentaries, ministry resources, reprints","Permission question for Father's Business Bible Study","Permission process for metadata, excerpt, or private beta inclusion for one selected title",Draft,"Ask narrow title-specific question","Good formal publisher workflow candidate."
5,Moody Publishers / Moody Bible Institute,hello@fathersbusinessmasteryresources.com,official contact page,"Legacy evangelism, biography, Bible study, Ironside-adjacent questions","Permission question for Father's Business Bible Study","Ask for correct permissions contact for app/library use of one title",Draft,"Start with publisher side and ask where app rights should go","Modern editions require permission."
6,Christian Focus Publications,hello@fathersbusinessmasteryresources.com,official contact page,"Biographies, theology, missions, Christian living","Permission question for Father's Business Bible Study","Metadata, approved excerpts, and future subscription licensing process",Draft,"Ask about one title or sample chapter first","Strong future curated shelf candidate."
7,Independent Baptist authors with active ministries,hello@fathersbusinessmasteryresources.com,ministry website or direct email,"Doctrine, preaching, evangelism, KJV, church helps","Request to feature your book in a Bible study app","Permission to include one booklet or study in beta with official links",Draft,"Create a list of 10 names Stephen trusts doctrinally","Likely easier than large publishers."
8,Mission boards and missionary biography rights holders,hello@fathersbusinessmasteryresources.com,mission board contact page,"Missionary biographies, prayer letters, photos, field reports","Permission question for missionary resources in Father's Business Bible Study","Approved excerpts, photos, official links, and prayer-profile usage",Draft,"Begin with boards or families connected to Stephen/church","Photos and letters may have separate rights."
9,SermonAudio and church media contacts,hello@fathersbusinessmasteryresources.com,platform/church contact,"Sermon audio, transcripts, sermon metadata, embed/link options","Audio and sermon permission question","Ask whether linking, embedding, and metadata storage are permitted",Draft,"Ask terms before downloading or rehosting anything","Do not rehost modern sermon audio without permission."
10,Small sermon/illustration publishers,hello@fathersbusinessmasteryresources.com,publisher or author contact,"Illustrations, stories, quotes, preaching helps","Excerpt permission request for sermon preparation resources","Ask for excerpt quota, attribution rules, export limits, and paid/free boundaries",Draft,"Find one title and ask narrow terms","Sermon illustration sources can involve third-party rights."
