kjv_store_need,commercial_example,public_domain_or_rights_safe_alternatives,likely_app_status,next_action
Bible commentaries,"Understanding the Bible; KJV Bible Commentary","Matthew Henry; JFB; Barnes; Clarke; Wesley; Poole; Pulpit Commentary; Biblical Illustrator; Treasury of David","Many already present or partly present","Fill missing commentary chapters from verified public-domain sets before pursuing modern sets."
Preaching outlines,KJV Preacher's Outline & Sermon Bible,"Spurgeon sermons; Maclaren sermons; Handfuls on Purpose candidates; Great Preaching of the Faith candidates","Partly present / acquisition queue","Prioritize public-domain preaching outlines and sermon collections."
Bible dictionaries,F.A.C.E. Noah Webster's 1828 Dictionary,"Webster 1828; Easton; Smith; Nave; Hitchcock; Fausset; ISBE","Partly present","Verify completeness and search integration."
KJV defense,The Text of the King James Bible,"Revision Revised; Translators Revived; English Bible histories; public-domain KJV/Textus Receptus works","Partly present / acquisition queue","Continue source verification and avoid modern controlled titles without permission."
Devotionals,KJV Daily Light editions,"Daily Light public-domain editions if source/edition verified; Morning and Evening; Murray; Bounds; Meyer","Likely partly present","Verify Daily Light source and edition separately."
Prayer books,Prayer category,"E. M. Bounds; Andrew Murray; R. A. Torrey; F. B. Meyer prayer titles","Strong existing lane","Group clean prayer classics into a polished reading path."
Christian history,Christian History category,"Miller; Wylie; Foxe; Baptist histories; Waldensian histories; public-domain church history sets","Partly present","Improve Christian History discovery shelves and continue duplicate-safe imports."
Creation / apologetics,Creation category,"Older apologetics/history-of-doctrine works; public-domain science/apologetics titles only if useful and accurate","Thin / needs care","Do not import weak or outdated science material just to fill count."
Soul winning,Witnessing / Soul Winning,"Moody; Torrey; Spurgeon; public-domain evangelism manuals; selected Baptist soul-winning candidates","Partly present","Build a curated Evangelism path."
Bible maps,Bible Maps,"Easton maps/illustrations; Hurlbut geography maps; public-domain Bible atlas images","Needs media rights review","Add maps only from documented public-domain image sources."
