priority,title,creator,resource_type,source_url,source_platform,rights_status,app_use,review_status,next_action,notes
1,Around the Wicket Gate,C. H. Spurgeon,Audiobook,https://librivox.org/around-the-wicket-gate-by-charles-h-spurgeon/,LibriVox,Public-domain LibriVox recording in the USA,Attach Listen to existing book card,Ready for exact file metadata review,"Create audiobook metadata and R2 upload plan; do not duplicate the book card.","Short gospel book; good first public-domain audio pilot."
2,How to Pray,R. A. Torrey,Audiobook,https://librivox.org/how-to-pray-by-reuben-archer-torrey/,LibriVox,Public-domain LibriVox recording in the USA,Prayer path audio,Ready for exact file metadata review,"Attach to existing text resource if present; add to Prayer reading/listening path.","Strong prayer resource for daily listening."
3,With Christ in the School of Prayer,Andrew Murray,Audiobook,https://librivox.org/with-christ-in-the-school-of-prayer-by-andrew-murray/,LibriVox,Public-domain LibriVox recording in the USA,Prayer path audio,Ready for exact file metadata review,"Attach to existing text resource if present; add chapter markers.","Longer prayer classic; good after audio resume is stable."
4,Spurgeon's Sermons May 1858,C. H. Spurgeon,Sermon audio,https://librivox.org/spurgeons-sermons-may-1858-by-charles-spurgeon/,LibriVox,Public-domain LibriVox recording in the USA,Sermon audio series pilot,Ready for exact file metadata review,"Preserve sermon titles and add as sermon audio rather than duplicate books.","Useful for preaching examples, quotes, and sermon listening."
5,All of Grace,C. H. Spurgeon,Audiobook,https://librivox.org/author/1490,LibriVox,Needs exact work-page verification before import,Attach Listen to existing book card,Needs exact item review,"Find exact LibriVox work page and compare against existing book card.","High-value evangelistic classic; verify exact recording page first."
6,Expository Thoughts on the Gospels,J. C. Ryle,Audiobook / reading candidate,https://librivox.org/author/184,LibriVox,Needs exact work-page verification before import,Gospel commentary listening,Needs source lookup,"Find exact LibriVox volume pages and match to existing Ryle resources.","Good for Bible Reader commentary listening if exact rights and structure are clean."
7,Moody sermons and addresses,D. L. Moody,Audiobook / sermon candidate,https://librivox.org/author/305,LibriVox,Needs exact work-page verification before import,Evangelism and revival audio,Needs source lookup,"Find exact LibriVox item pages and match existing Library works.","Use for evangelism, revival, and sermon illustration paths."
8,F. B. Meyer public-domain works,F. B. Meyer,Audiobook candidate,https://librivox.org/author/615,LibriVox,Needs exact work-page verification before import,Devotional and Bible study audio,Needs source lookup,"Find exact LibriVox item pages and match existing Library works.","Useful teacher-friendly devotional listening."
9,George Whitefield sermons,George Whitefield,Sermon audio candidate,https://librivox.org/,LibriVox / public-domain sources,Needs exact source verification,Great Awakening sermon audio,Needs source lookup,"Find exact recording source and verify public-domain recording status.","Public-domain text is likely; recording rights still need exact item proof."
10,John Wesley sermons,John Wesley,Sermon audio candidate,https://librivox.org/author/539,LibriVox,Needs exact work-page verification before import,Historical sermon audio,Needs review,"Use with theological context notes; match exact sermon collection page.","Historical value, but app should label doctrinal perspective carefully."
