priority,type,title,creator,source_url,source_platform,rights_posture,app_use,review_status,next_action,notes
1,Audiobook,All of Grace,C. H. Spurgeon,https://librivox.org/author/1490,LibriVox,LibriVox recordings are public domain in the USA,Attach Listen to existing book card,Needs exact item review,"Find exact LibriVox work page and compare against existing book card.","Good first audio pilot because it is short and already central to the Library."
2,Audiobook,Around the Wicket Gate,C. H. Spurgeon,https://librivox.org/around-the-wicket-gate-by-charles-h-spurgeon/,LibriVox,Public-domain LibriVox recording in the USA,Attach Listen to existing book card,Reviewed candidate,"Create media metadata and R2 upload batch after storage path is confirmed.","Short gospel audiobook pilot."
3,Sermon audio,Spurgeon's Sermons May 1858,C. H. Spurgeon,https://librivox.org/spurgeons-sermons-may-1858-by-charles-spurgeon/,LibriVox,Public-domain LibriVox recording in the USA,Sermon audio series pilot,Needs exact file review,"Preserve sermon titles and add as sermon audio, not duplicate books.","Useful for preacher workflow and sermon examples."
4,Audiobook,How to Pray,R. A. Torrey,https://librivox.org/how-to-pray-by-reuben-archer-torrey/,LibriVox,Public-domain LibriVox recording in the USA,Prayer path audio,Needs exact item review,"Attach to existing text resource if present.","Good daily prayer listening resource."
5,Audiobook,With Christ in the School of Prayer,Andrew Murray,https://librivox.org/with-christ-in-the-school-of-prayer-by-andrew-murray/,LibriVox,Public-domain LibriVox recording in the USA,Prayer path audio,Needs exact item review,"Attach to existing text resource if present.","Longer prayer classic; good after audio resume is stable."
6,Audiobook,A Retrospect,J. Hudson Taylor,https://librivox.org/,LibriVox,Needs exact LibriVox item verification,Missions audiobook,Needs source lookup,"Find exact LibriVox page and match existing Library resource.","Strong missions path candidate."
7,Audio sermon,Charge That To My Account,H. A. Ironside,https://archive.org/details/HarryA.IronsideChargeThatToMyAccount,Internet Archive,Needs rights/source review only,Private review only,Needs review,"Check uploader, source metadata, date, and rights statement before app use.","Do not host or display publicly until rights are clear."
8,Audio sermon collection,Moody Church Ironside audio,H. A. Ironside,https://archive.org/details/cleansing-of-the-leper-harry-a.-ironside-moody-church-chicago/Behold+the+Lamb+-+Harry+A.+Ironside+(Moody+Church%2C+Chicago).mp3,Internet Archive,Needs rights/source review only,Private review only,Needs review,"Check whether Moody Church or rights holder permission is required.","Likely valuable, but do not assume public-domain audio rights."
9,Audio sermon,Discernment in the Church,Vance Havner,https://archive.org/details/discernment-in-the-church-by-vance-havner,Internet Archive,Modern audio rights unclear,Private review only,Blocked until permission,"Find rights holder before app listing/embedding.","Vance Havner material should be permissions-first."
10,Audio sermon,The Gospel According to Paul,John Phillips,https://archive.org/details/dr.-john-phillips-the-gospel-according-to-paul-romans-1.14-16,Internet Archive,Modern audio rights unclear,Private review only,Blocked until permission,"Find rights holder before app listing/embedding.","John Phillips is modern; no public use without permission."
11,KJV audio/video,KJV Dramatized Gospel of Luke,Multiple/unknown,https://archive.org/details/kjv-dramatized-gospel-of-luke-02/KJV+Dramatized+Gospel+of+Luke+01.mp4,Internet Archive,KJV/dramatized production rights unclear,Private review only,Needs review,"Identify producer and rights statement before use.","KJV Bible text and dramatized performance rights must be checked separately."
12,KJV audio/video,The Holy Bible KJV Dramatized Audio,Multiple/unknown,https://archive.org/details/the-holy-bible-42-luke-kjv-dramatized-audio_202202/The+Holy+Bible+-+01+-+Genesis+-+KJV+Dramatized+Audio.mp4,Internet Archive,KJV/dramatized production rights unclear,Private review only,Needs review,"Identify producer and rights statement before use.","Do not import broad Bible audio/video until exact rights are documented."
13,Teaching audio,Liberty Home Bible Institute New Testament,H. L. Willmington / Liberty Home Bible Institute,https://archive.org/details/new-testament_202407/New+Testament+1+_+Gospels+1+_+Liberty+Home+Bible+Institute+_+HL+Willmington.mp3,Internet Archive,Modern teaching rights unclear,Private review only,Blocked until permission,"Contact rights holder before app use.","May be valuable if permission is granted."
14,Bible audio,KJV audio set,Multiple/unknown,https://archive.org/details/a-19-119-psalms-engkjvo-1-da/A01___01_Genesis_____ENGKJVO1DA.mp3,Internet Archive,Needs source and territory review,Private review only,Needs review,"Identify source, edition, narrator/producer, and rights before use.","KJV text and audio performance rights must both be clear."
