title,source_url,current_public_use,excerpt_status,recommendation_status,app_placements,next_action,notes
Understanding the Bible,https://northstarministries.com/product/understanding-the-bible/,Official link and cover graphic only,Excerpt review pending,High priority candidate,"Commentary Explorer; Bible book recommendations; Study Workspace; Sermon Assistant",Review title description and identify approved short excerpt candidates,"Do not import or host the commentary text. Group alternate USB/download formats under this one work."
The Majesty of the Psalms,https://northstarministries.com/product/the-majesty-of-the-psalms-ebook/,Official link and cover graphic only,Excerpt review pending,High priority candidate,"Psalms ecosystem; devotional commentary; Study Workspace",Review title description and identify Psalms-focused excerpt candidates,"Good fit for Psalms teaching and devotional study."
When He Shall Come: Christ's Second Coming and Associated Events,https://northstarministries.com/product/when-he-shall-come-christs-second-coming-and-associated-events/,Official link and cover graphic only,Excerpt review pending,High priority candidate,"Daniel ecosystem; Revelation ecosystem; prophecy resources; sermon prep",Review doctrinal notes before public recommendation,"Keep clearly labeled as a recommended prophecy resource only after title review."
Empowered by the Devil,https://northstarministries.com/product/empowered-by-the-devil/,Official link and cover graphic only,Excerpt review pending,Review carefully,"Discernment shelf; sermon prep",Review tone and pastoral use before recommendation,"Sensitive doctrine/discernment topic."
Neither Oldest Nor Best,https://northstarministries.com/product/neither-oldest-nor-best/,Official link and cover graphic only,Excerpt review pending,High priority candidate,"KJV study; textual issues; English Bible history",Review citation quality before excerpts,"Use with careful wording and documented source notes."
God's Perfect Book,https://northstarministries.com/product/perfect-book/,Official link and cover graphic only,Excerpt review pending,High priority candidate,"KJV study; Bible preservation; doctrine resources",Review title description and excerpt candidates,"Strong KJV shelf candidate."
Touch Not the Unclean Thing,https://northstarministries.com/product/touch-not-the-unclean-thing/,Official link and cover graphic only,Excerpt review pending,Review carefully,"KJV study; pastoral discernment",Review title description before recommendation,"Keep pastoral wording charitable and clear."
The Proverbs,https://northstarministries.com/product/the-proverbs/,Official link and cover graphic only,Excerpt review pending,High priority candidate,"Proverbs study; Daily Growth; wisdom resources",Review title description and Proverbs excerpt candidates,"Strong daily study fit."
Moral Failure,https://northstarministries.com/product/moral-failure-ebook/,Official link and cover graphic only,Excerpt review pending,Review carefully,"Pastor shelf; purity safeguards; Christian living",Review pastoral wording and excerpt sensitivity,"Sensitive topic; avoid casual placement."
The Faithful Word: The Making of the King James Bible,https://northstarministries.com/product/the-faithful-word/,Official link and cover graphic only,Excerpt review pending,High priority candidate,"KJV history; English Bible history; Library recommendations",Review title description and excerpt candidates,"Strong Bible history path candidate."
Winning People to Christ,https://northstarministries.com/product/winning-people-to-christ/,Official link and cover graphic only,Excerpt review pending,High priority candidate,"Evangelism path; sermon applications; teaching resources",Review title description and practical excerpt candidates,"Good fit for soulwinning and evangelism studies."
Broad Is the Way,https://northstarministries.com/product/broad-is-the-way/,Official link and cover graphic only,Excerpt review pending,Review carefully,"Christian living; evangelism; sermon resource",Review title description before recommendation,"Needs careful public-facing description."
The Art of Pastoring,https://northstarministries.com/product/the-art-of-pastoring/,Official link and cover graphic only,Excerpt review pending,High priority candidate,"Pastor shelf; sermon prep; ministry leadership",Review title description and excerpt candidates,"Strong pastor/ministry resource."
Training Your Children to Turn Out Right,https://northstarministries.com/product/training-your-children-to-turn-out-right/,Official link and cover graphic only,Excerpt review pending,Medium priority candidate,"Family path; parenting; Christian living",Review pastoral tone and family placement,"Good later family collection fit."
Have a Heavenly Marriage,https://northstarministries.com/product/have-a-heavenly-marriage/,Official link and cover graphic only,Excerpt review pending,Medium priority candidate,"Family path; marriage; Christian living",Review pastoral tone and family placement,"Good later family collection fit."
