priority,set_or_author,coverage_goal,source_lead,rights_posture,parser_risk,next_action,notes
1,Pulpit Commentary,Complete all Bible books and chapters where source is clean,https://biblicalstudies.org.uk/commentaries_pulpit-commentary.php,Public-domain claim needs exact edition/source capture,Medium,"Stage one weak-book batch and validate text cleanup before broad import.","High teaching value with homiletic material; avoid duplicated wrappers."
2,Biblical Illustrator,Add chapter/verse-level preaching and illustration depth,Internet Archive and clean public-domain scans,Needs exact volume review,High,"Choose one Bible book and test parser quality.","Likely huge value for sermon prep, but OCR noise can be high."
3,Matthew Poole,Whole-Bible commentary coverage,Internet Archive / public-domain scans,Needs exact edition review,Medium,"Prepare a small OT/NT sample and validate verse splitting.","Useful conservative commentary; verify source quality."
4,Expositor's Bible,Book-level expository commentary depth,Internet Archive / public-domain scans,Needs exact volume review,Medium,"Add as library/commentary hybrid after source review.","Good for teaching and sermon background."
5,Cambridge Bible for Schools and Colleges,Academic background and concise notes,Internet Archive / HathiTrust public-domain volumes,Needs exact volume review,Medium,"Review focus books first: Amos, Romans, Daniel, John, Isaiah.","Helpful for background but use discernment labels where needed."
6,Ellicott's Commentary for English Readers,Whole-Bible concise notes,Internet Archive / public-domain scans,Needs exact edition review,Medium,"Confirm source and add to Commentary Explorer review queue.","Useful comparison layer."
7,Lange's Commentary,Deep scholarly commentary,Internet Archive / HathiTrust public-domain volumes,Needs exact volume review,High,"Start with one focus book due OCR/structure complexity.","Long form; likely best as library/commentary hybrid."
8,Benson Commentary,Whole-Bible Methodist commentary,Public-domain scans / clean text source,Needs exact source review,Medium,"Use with doctrinal note and compare against existing Wesley/Clarke.","May help fill gaps but should be labeled by tradition."
9,Keil and Delitzsch,Old Testament depth,Public-domain translations/scans,Needs exact edition review,Medium,"Prioritize prophecy books and Genesis/Exodus.","Strong OT value."
10,Alexander Maclaren,Expository sermons/commentary,Public-domain texts / Project Gutenberg / scans,Needs title-level review,Low,"Connect existing/exact works to commentary where already imported as books.","Strong devotional/preaching help."
