source,name,type,category_or_role,website,copyright_status,permission_status,recommended_app_use,notes
The KJV Store,The KJV Store,retailer/discovery source,KJV-friendly retail catalog,https://www.thekjvstore.com/christian-books/,Not a content rights source,Needs Review,Discovery and possible outbound purchase/affiliate links,Do not import retail product content without permission.
The KJV Store,F.A.C.E. Noah Webster's 1828 Dictionary,product lead,Dictionary / KJV word study,https://www.thekjvstore.com/christian-books/,Unknown - verify,Permission Needed,Compare against existing Webster 1828 coverage; link only if approved,Retail listing does not grant digital rights.
The KJV Store,Understanding the Bible - 11 Volume Commentary Set,product lead,Commentary,https://www.thekjvstore.com/christian-books/,Permission Granted - Scoped,Permission Granted - Scoped,Northstar/Sorenson official links and excerpts after title review,Permission received from Northstar for links/excerpts/cover graphics. Do not import full commentary text without separate confirmation.
The KJV Store,KJV Preacher's Outline & Sermon Bible,product lead,Preaching / sermon outlines,https://www.thekjvstore.com/christian-books/,Unknown - verify,Permission Needed,Possible permission target for Leadership Ministries Worldwide,Modern sermon-outline product; do not import without written permission.
The KJV Store,King James Version Bible Commentary,product lead,Commentary,https://www.thekjvstore.com/christian-books/,Unknown - verify,Permission Needed,Possible publisher permission target,Modern publisher product; title-by-title rights review needed.
The KJV Store,Biblical Counseling Guides,product lead,Counseling / family / pastoral helps,https://www.thekjvstore.com/christian-books/,Unknown - verify,Permission Needed,Possible permission target for Jett Family Ministries,Modern counseling guides; do not import without permission.
The KJV Store,KJV Standard Lesson Commentary,product lead,Sunday School / teaching,https://www.thekjvstore.com/christian-books/,Unknown - verify,Permission Needed,Possible permission target for Standard Publishing,Current lesson material; permission required.
The KJV Store,The Text of the King James Bible,product lead,KJV defense / Bible text history,https://www.thekjvstore.com/christian-books/,Unknown - verify,Permission Needed,Possible permission target for Vance Publications,Modern KJV book; permission required.
The KJV Store,Thompson Chain-Reference Sermon Notebook,product lead,Cross references / sermon preparation,https://www.thekjvstore.com/christian-books/,Unknown - verify,Permission Needed,Possible permission target for Zondervan or Thompson rights holder,Modern controlled product; permission required.
The KJV Store,KJV Daily Light,product lead,Devotional / Scripture readings,https://www.thekjvstore.com/christian-books/,Unknown - verify,Permission Needed,Possible permission target for Trinitarian Bible Society,Verify underlying text and edition permissions.
The KJV Store,Why the King James Bible is the Perfect Word of God,product lead,KJV defense,https://www.thekjvstore.com/christian-books/,Unknown - verify,Permission Needed,Possible permission target for Chick Publications,Modern tract/booklet; permission required.
