title,author,category,collection,source_url,rights_status,review_status,recommended_use,next_action
The Treasury of David,C. H. Spurgeon,Commentaries,Spurgeon Collection,https://www.spurgeon.org/resource-library/treasury-of-david/,Needs source and reuse review,Needs Review,High-value Psalms commentary; verify source text permissions before public import.,"Find exact public-domain text source and decide whether to import as commentary, library book, or both."
Metropolitan Tabernacle Pulpit Sermons,C. H. Spurgeon,Preaching & Teaching,Spurgeon Collection,https://archive.org/search?query=%22Metropolitan+Tabernacle+Pulpit%22,Needs exact volume review,Needs Review,Large sermon set; import only exact public-domain volumes with stable text source.,"Select one volume, verify publication date and text quality, stage small batch."
Sermons of C. H. Spurgeon,C. H. Spurgeon,Preaching & Teaching,Spurgeon Collection,https://www.gutenberg.org/ebooks/search/?query=spurgeon,Candidate only; exact ebook required,Needs Review,Existing library already includes several Spurgeon works; avoid duplicate public cards.,Pick specific non-duplicate Gutenberg titles with direct ebook IDs.
Addresses on the Gospel of John,H. A. Ironside,Commentaries,Ironside Collection,https://www.brethrenarchive.org/people/harry-a-ironside/pamphlets/addresses-on-the-gospel-of-john/,Mixed; exact edition review required,Needs Review,Useful for John commentary expansion; do not import later edited material without review.,Verify source rights and stage John sample chapters.
Lectures on the Epistle to the Romans,H. A. Ironside,Commentaries,Ironside Collection,https://www.brethrenarchive.org/media/364659/ironside-h-a-_-epistles-to-the-romans.pdf,Likely U.S. public domain for 1928 first edition; confirm edition,Needs Review,Existing rights review notes identify this as a better Ironside candidate.,Extract sample text and verify against source before larger import.
Ironside Writings Index,H. A. Ironside,Bible study helps,Ironside Collection,https://www.wholesomewords.org/etexts/ironside/writings.html,Mixed; title-by-title review required,Needs Review,Use as discovery index only; each title needs its own source and rights review.,Create title-level manifests for likely public-domain works.
Dispensational Truth additional edition review,Clarence Larkin,KJV / Textual Issues,KJV Defense Collection,https://archive.org/search?query=Clarence+Larkin,Needs exact source review,Needs Review,Several Larkin works are already in the library; use this only for missing verified works.,Audit existing Larkin cards before adding anything.
Rightly Dividing the Word,Clarence Larkin,Bible study helps,KJV Defense Collection,https://archive.org/search?query=%22Rightly+Dividing+the+Word%22+Larkin,Needs exact edition review,Needs Review,Potential high-value teaching resource if rights and source text are clean.,Locate public-domain text or stable scan and validate.
The Book of Daniel duplicate-safe expansion,Clarence Larkin,Commentaries,KJV Defense Collection,https://archive.org/search?query=%22The+Book+of+Daniel%22+%22Clarence+Larkin%22,Needs exact source review,Needs Review,Do not add another edition as a separate public card unless materially different and reviewed.,Keep existing import; only update metadata if needed.
Lectures on the Gospel of John,William Kelly,Commentaries,Kelly Collection,https://www.stempublishing.com/authors/kelly/,Needs source and edition review,Needs Review,Kelly may be useful but needs exact edition and doctrinal labels.,Select exact book/chapter source and stage sample only.
Notes on Romans,William Kelly,Commentaries,Kelly Collection,https://www.stempublishing.com/authors/kelly/,Needs source and edition review,Needs Review,Candidate for Romans commentary comparison after review.,"Find exact text source, verify rights, stage Romans sample."
Exposition of the Epistles of John,William Kelly,Commentaries,Kelly Collection,https://www.stempublishing.com/authors/kelly/,Needs source and edition review,Needs Review,Useful for John-related study if source and structure are clean.,Create manifest only after exact source is chosen.
Collected Writings discovery,J. N. Darby,Bible study helps,Darby Collection,https://www.stempublishing.com/authors/darby/,"Needs source, edition, and doctrinal review",Needs Review,Candidate only; do not import broadly or silently.,Choose narrow Bible-study resource and review before staging.
Synopsis of the Books of the Bible,J. N. Darby,Bible surveys,Darby Collection,https://www.stempublishing.com/authors/darby/synopsis/,Needs exact source and reuse review,Needs Review,Potential Bible survey/commentary source; requires careful labels.,Stage one book only after rights and doctrinal labels are complete.
The Annotated Bible discovery,Arno C. Gaebelein,Commentaries,Gaebelein Collection,https://www.gutenberg.org/ebooks/search/?query=gaebelein,Candidate only; exact ebook required,Needs Review,Use Project Gutenberg candidates only when exact title is not already present.,Pick non-duplicate exact ebook IDs.
The Prophet Daniel,Arno C. Gaebelein,Commentaries,Gaebelein Collection,https://archive.org/search?query=%22Arno+C.+Gaebelein%22+Daniel,Needs exact source review,Needs Review,Good fit for prophecy/commentary if rights/source are clean.,"Verify exact edition, then stage sample chapters."
The Numerical Bible,F. W. Grant,Bible study helps,Grant Collection,https://www.stempublishing.com/authors/FW_Grant/,Needs source and edition review,Needs Review,High-effort parsing candidate; likely needs staged samples first.,"Identify exact volume, verify source, and stage one chapter."
Facts and Theories as to a Future State,F. W. Grant,Christian living,Grant Collection,https://www.stempublishing.com/authors/FW_Grant/,Needs source and edition review,Needs Review,Candidate only; not a first import unless source and use are clear.,Review title fit and rights before adding to queue.
The Pulpit Commentary - Matthew volume,Various,Commentaries,Pulpit Commentary,https://archive.org/search?query=%22Pulpit+Commentary%22+Matthew,Needs exact volume review,Needs Review,Track separately from current commentary sets; likely large parser work.,"Choose one volume, document edition, stage sample chapter."
The Pulpit Commentary - John volume,Various,Commentaries,Pulpit Commentary,https://archive.org/search?query=%22Pulpit+Commentary%22+John,Needs exact volume review,Needs Review,Useful for John but may be verbose; keep Scripture primary.,Verify source and test parser on John 3 only.
The Pulpit Commentary - Romans volume,Various,Commentaries,Pulpit Commentary,https://archive.org/search?query=%22Pulpit+Commentary%22+Romans,Needs exact volume review,Needs Review,Candidate for teaching comparison after rights and parsing review.,Verify exact source and sample Romans 5.
The Biblical Illustrator - John volume,Joseph S. Exell and contributors,Commentaries,Biblical Illustrator,https://archive.org/search?query=%22Biblical+Illustrator%22+John,Needs exact volume review,Needs Review,Potentially useful illustrations and homiletic material; may be noisy.,Choose one volume and assess quality before import.
The Biblical Illustrator - Romans volume,Joseph S. Exell and contributors,Commentaries,Biblical Illustrator,https://archive.org/search?query=%22Biblical+Illustrator%22+Romans,Needs exact volume review,Needs Review,"Candidate for teaching helps, not primary commentary.",Stage one small sample after rights review.
International Standard Bible Encyclopedia,James Orr and contributors,Bible encyclopedias,Bible Tools,https://archive.org/search?query=%22International+Standard+Bible+Encyclopaedia%22+1915,Likely public domain for 1915 edition; exact source required,Needs Review,Large reference work; verify edition and text structure before import.,Create dictionary/encyclopedia parser plan.
Hastings' Dictionary of the Bible,James Hastings and contributors,Bible dictionaries,Bible Tools,https://archive.org/search?query=%22Hastings%27+Dictionary+of+the+Bible%22,Needs exact edition review,Needs Review,Valuable but may include critical scholarship; labels required.,Review edition and doctrinal warning before queue.
A Dictionary of the Bible,William Smith,Bible dictionaries,Bible Tools,https://www.gutenberg.org/ebooks/search/?query=smith+dictionary+bible,Candidate only; exact ebook required,Needs Review,Use only if not duplicating existing Smith resource.,Audit current dictionary card first.
"Cyclopedia of Biblical, Theological, and Ecclesiastical Literature",John McClintock and James Strong,Bible encyclopedias,Bible Tools,https://archive.org/search?query=%22Cyclopedia+of+Biblical%2C+Theological%2C+and+Ecclesiastical+Literature%22,Needs exact volume review,Needs Review,Large multi-volume work; import only after chunking/search plan.,Review one volume and define dictionary/encyclopedia route.
