title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
"Life and the Way Through","F. B. Meyer",https://archive.org/download/lifewaythrough00meye/lifewaythrough00meye_djvu.txt,Christian Living,F. B. Meyer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Devotional Christian living resource for sustained reading, listening, and sermon application support."
"Our Daily Homily, Volume 2","F. B. Meyer",https://archive.org/download/ourdailyhomily02meye/ourdailyhomily02meye_djvu.txt,Preaching & Teaching,F. B. Meyer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Short devotional and homiletic readings for daily study, teaching prompts, and listening."
"Our Daily Homily, Volume 3","F. B. Meyer",https://archive.org/download/ourdailyhomily03meye/ourdailyhomily03meye_djvu.txt,Preaching & Teaching,F. B. Meyer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Short devotional and homiletic readings for daily study, teaching prompts, and listening."
"David: Shepherd, Psalmist, King","F. B. Meyer",https://archive.org/download/davidshepherdpsa00meyeuoft/davidshepherdpsa00meyeuoft_djvu.txt,Bible study helps,F. B. Meyer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Bible biography and devotional exposition for Old Testament study, teaching, and related sermon preparation."
"How to Study the Bible for Greatest Profit","R. A. Torrey",https://archive.org/download/howtostudybiblef00torriala/howtostudybiblef00torriala_djvu.txt,Bible study helps,R. A. Torrey Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Practical Bible study method resource for teachers, preachers, and serious Bible students."
"Studies in the Life and Teachings of Our Lord","R. A. Torrey",https://archive.org/download/studiesinlifetea00torr/studiesinlifetea00torr_djvu.txt,Bible study helps,R. A. Torrey Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Life of Christ study resource for Gospel reading paths, teaching preparation, and sermon study."
"Revival Addresses","R. A. Torrey",https://archive.org/download/revivaladdresses00torr/revivaladdresses00torr_djvu.txt,Preaching & Teaching,R. A. Torrey Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Evangelistic and revival preaching resource for sermon preparation and application study."
"Expository Thoughts on the Gospels: St. Mark","J. C. Ryle",https://archive.org/download/expositorythough00ryleiala/expositorythough00ryleiala_djvu.txt,Commentaries,J. C. Ryle Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Gospel exposition for teaching and commentary comparison after direct Scripture reading."
"Expository Thoughts on the Gospels","J. C. Ryle",https://archive.org/download/expositorythough07ryle/expositorythough07ryle_djvu.txt,Commentaries,J. C. Ryle Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Gospel exposition for family study, teaching preparation, and commentary comparison."
"Knots Untied","J. C. Ryle",https://archive.org/download/knotsuntied00ryleuoft/knotsuntied00ryleuoft_djvu.txt,Christian Living,J. C. Ryle Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Plain doctrinal and practical Christian living resource with perspective labels."
"The Treasury of David, Volume 2","C. H. Spurgeon",https://archive.org/download/treasuryofdavid02spuruoft/treasuryofdavid02spuruoft_djvu.txt,Commentaries,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Psalms exposition and devotional commentary for teaching, preaching, and related Scripture study."
"Sermons of Rev. C. H. Spurgeon, Volume 1","C. H. Spurgeon",https://archive.org/download/spurgeonssermons01spuruoft/spurgeonssermons01spuruoft_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Spurgeon sermon volume for preaching study, illustrations, quotations, and listening."
"Sermons of Rev. C. H. Spurgeon, Volume 6","C. H. Spurgeon",https://archive.org/download/spurgeonssermons06spuruoft/spurgeonssermons06spuruoft_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Spurgeon sermon volume for preaching study, illustrations, quotations, and listening."
