author_or_ministry,profile_file,resource_type,known_contact,website,copyright_status,theology_fit,collection_label,primary_audience,verse_by_verse,topical,audio_available,video_available,public_api_rss,mobile_friendly,embed_allowed,ai_summary_allowed,license_obtained,expiration_date,priority,permission_needed,notes,date_sent,request_type,status
Mark Cahill,data/library/acquisition/author-profiles/mark-cahill.md,Evangelism and apologetics,contactus@markcahill.org,https://markcahill.org/,Unknown - verify,Needs Review,Needs Review,Evangelism; Apologetics; Pastor; Sunday School,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,"Initial permission email sent manually by Stephen. No permission granted yet. Contact route researched 2026-07-03.",2026-07-04,Limited listing/link/excerpt/audio-video inquiry,Permission Requested
Dr. S. M. Davis,data/library/acquisition/author-profiles/dr-s-m-davis.md,Family and preaching,administrator@solvefamilyproblems.org,https://solvefamilyproblems.org/,Unknown - verify,Needs Review,Needs Review,Family; Pastor; Sunday School; Christian Living,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,"Initial permission email sent manually by Stephen. No permission granted yet. Text, audio, and video rights must be reviewed separately.",2026-07-04,Limited listing/link/excerpt/audio-video inquiry,Permission Requested
Dr. Bo Wagner,data/library/acquisition/author-profiles/dr-bo-wagner.md,Preaching and Baptist doctrine,2knowhim@cbc-web.org,https://wordofhismouth.com/,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Baptist History; Theology; Christian Living,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,Initial permission email sent manually by Stephen. No permission granted yet. Review theology fit and exact resource rights before inclusion.,2026-07-04,Limited listing/link/excerpt/audio-video inquiry,Permission Requested
Dr. William P. Grady,data/library/acquisition/author-profiles/dr-william-p-grady.md,KJV defense and Bible history,Phone/contact route: 865-216-3483,https://gradypublications.com/,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Serious Bible Student,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,"Modern copyrighted works likely require permission; review title by title. Official Grady Publications site lists phone/contact route but no clean permissions email found yet.",,,Manual Contact Needed
Bogard Press,data/library/acquisition/author-profiles/bogard-press.md,Baptist publisher and Sunday School resources,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Baptist History; Theology; Christian Living,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,"Publisher permission required for curriculum, books, and excerpts.",,,Needs Review
Vance Havner,data/library/acquisition/author-profiles/vance-havner.md,Devotional preaching and revival,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Preaching; Devotional; Sunday School,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,Modern copyrighted works likely require permission; strong preaching/devotional candidate.,,,Needs Review
Douglas Hammett,data/library/acquisition/author-profiles/douglas-hammett.md,Baptist doctrine and discipleship,https://purposedcoaching.com/Contact.html,https://purposedcoaching.com/,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Baptist History; Theology; Christian Living,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Yes,"Review exact titles, source, and ministry permissions. Contact route researched 2026-07-03. Contact page required manual review due browser/security access issue; no permission granted.",,,Manual Contact Needed
Charles Spurgeon,data/library/acquisition/author-profiles/charles-spurgeon.md,Sermons and devotional works,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Preaching; Devotional; Sunday School,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Maybe,"Many works are public-domain candidates, but source, edition, and OCR quality must be verified.",,,Needs Review
Lewis Sperry Chafer,data/library/acquisition/author-profiles/lewis-sperry-chafer.md,Dispensational theology,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Serious Bible Student,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Maybe,Verify publication date and edition; later editions or compilations may be copyrighted.,,,Needs Review
H. A. Ironside,data/library/acquisition/author-profiles/h-a-ironside.md,Commentary and dispensational exposition,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Theology; Prophecy; Serious Bible Student,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Maybe,Verify title-by-title; early works may be rights-safe but later editions require review.,,,Needs Review
William Kelly,data/library/acquisition/author-profiles/william-kelly.md,Dispensational exposition,TBD,TBD,Unknown - verify,Needs Review,Needs Review,Pastor; Sunday School; Theology; Prophecy; Serious Bible Student,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,High,Maybe,Public-domain candidates exist; verify source and edition quality.,,,Needs Review
