"author","title","category","priority","lane","library_status","possible_matches","rights_review","next_action"
"Abbott, Jacob and John S. C.","Abbotts Commentary on the New Testament","Commentary","medium","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Sir Robert Anderson","The Coming Prince","Prophecy / Theology","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Sir Robert Anderson","Forgotten Truths","Theology","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Sir Robert Anderson","The Gospel and its Ministry","Gospel / Theology","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Sir Robert Anderson","The Lord from Heaven","Christology","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Sir Robert Anderson","Redemption Truths","Salvation / Theology","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Sir Robert Anderson","The Silence of God","Apologetics / Theology","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Sir Robert Anderson","Types in Hebrews","Bible Study","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Albert Barnes","Notes on the New Testament, Explanatory and Practical","Commentary","high","already-commentary-priority","possible_match","Notes on the New Testament, Explanatory and Practical: Revelation — Albert Barnes and Robert Frew","Likely already partly present","Check current app coverage; fill missing books/chapters only."
"Albert Barnes","Notes on the Old Testament, Explanatory and Practical","Commentary","high","already-commentary-priority","possible_match","Notes on the New Testament, Explanatory and Practical: Revelation — Albert Barnes and Robert Frew","Likely already partly present","Check current app coverage; fill missing books/chapters only."
"Joseph Benson","Commentary on the Old and New Testaments","Commentary","high","public-domain-candidate","not_found","","Needs source proof","Review exact source and edition before import."
"Bill Bonnell","Word Clouds","Bible Tools","low","permission-needed","not_found","","Permission needed / modern or controlled","Do not import; prepare permission request or official-link-only record."
"E. M. Bounds","Collected Works on Prayer","Prayer","high","likely-existing-check","not_found","","Needs source proof","Review exact source and edition before import."
"E. M. Bounds","Essentials of Prayer","Prayer","high","likely-existing-check","possible_match","The essentials of prayer — Bounds, Edward M. (Edward McKendree), 1835-1913 || Essentials of Prayer — Edward M. Bounds || The essentials of prayer — Edward M. Bounds","Needs source proof","Review exact source and edition before import."
"E. M. Bounds","Necessity of Prayer","Prayer","high","likely-existing-check","possible_match","The Necessity of Prayer — E. M. Bounds || The Necessity of Prayer — Edward M. Bounds","Needs source proof","Review exact source and edition before import."
"E. M. Bounds","Power of Prayer","Prayer","high","likely-existing-check","possible_match","Power through prayer — Bounds, Edward M. (Edward McKendree), 1835-1913 || Satan : his personality, power and overthrow — Bounds, Edward M. (Edward McKendree), 1835-1913 || Power Through Prayer — Edward M. Bounds || Satan : His personality, power and overthrow — Edward M. Bounds || Satan: His Personality, Power and Overthrow — Edward M. Bounds","Needs source proof","Review exact source and edition before import."
"E. M. Bounds","Prayer and Praying Men","Prayer","high","likely-existing-check","possible_match","Prayer and Praying Men — Edward M. Bounds || Prayer and Praying Men — Re. edward M. Bounds || Prayer and Praying Men — E. M. Bounds","Needs source proof","Review exact source and edition before import."
"E. M. Bounds","Purpose in Prayer","Prayer","high","likely-existing-check","possible_match","Purpose in prayer — Bounds, Edward M. (Edward McKendree), 1835-1913 || Purpose in Prayer — Edward M. Bounds","Needs source proof","Review exact source and edition before import."
