priority,target,resource_focus,official_route,status,next_action,notes
1,Bogard Press,"Baptist Sunday School curriculum; Baptist history; doctrine; church resources",https://bogardpress.org/contact/,Verify before sending,"Prepare one narrow permission request for listing/linking selected resources and asking for the correct rights contact.","Official contact page lists phone/customer service routes. Publisher material is modern; no text import without written permission."
2,Sword of the Lord / John R. Rice,"Evangelism; revival; preaching; John R. Rice legacy resources",https://www.swordofthelord.com/about,Verify before sending,"Find official permissions/contact route and ask about selected resource listings, official links, approved excerpts, and cover images.","Modern ministry/publisher rights likely apply. Use title-specific asks."
3,The Gospel Hour / Oliver B. Greene,"Bible preaching; radio sermons; prophecy and gospel resources",https://thegospelhour.org/,Verify before sending,"Ask The Gospel Hour for the proper permissions process for listing/linking selected Oliver B. Greene resources and approved excerpts.","Treat books, audio, and video separately. Do not use third-party uploads as permission evidence."
4,Vance Havner rights holder,"Revival preaching; quotes; sermon audio; books",https://vancehavner.com/biography/,Needs rights-holder verification,"Find the current rights/contact route before sending. Ask only for listing/linking and approved excerpts first.","Do not assume sermon audio or quote collection rights from unofficial uploads or apps."
5,Trinitarian Bible Society,"KJV/Textus Receptus resources; Bible defense; articles",https://www.tbsbibles.org/,Verify before sending,"Use the official contact/copyright route for selected article/resource permissions.","Good fit for KJV resources, but permissions and territorial Bible-text questions must be handled carefully."
6,Moody Publishers,"Legacy Bible study resources; biographies; possible Ironside/Moody-controlled editions",https://www.moodypublishers.com/,Hold for title-specific request,"Choose one exact title and edition before contacting permissions.","Publisher permissions may be formal. Do not ask for broad catalog rights."
7,Lifeway,"Bible study resources; church resources",https://www.lifeway.com/about/licensing-permission-requests,Hold for title-specific request,"Use their official permission form only for a specific title/use case.","Better after beta screenshots and public landing page are ready."
8,HarperCollins Christian / Thomas Nelson / Zondervan,"Study Bibles; commentaries; modern ministry books",https://www.harpercollinschristian.com/sales-and-rights/permissions/,Hold for later publisher packet,"Prepare a professional beta packet before approaching large publishers.","Likely longer permission cycle; ask title-by-title."
9,SermonAudio or one specific broadcaster,"Sermon metadata; embeds; official links; transcripts",https://sermonaudiotips.com/embed-codes/,Needs broadcaster target,"Pick one trusted broadcaster first and ask about embedding/linking, not downloading.","Platform embed ability does not equal broad rights to rehost files."
10,Known local pastors and teachers,"Sermon outlines; lesson notes; audio sermons; class handouts",Personal contact,Needs Stephen selection,"Ask 3 trusted people for one sample resource each.","This is the easiest way to test the permission workflow with real ministry content."
