score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year,archive_identifier,source_group,downloads
150,The Church in Earnest,John Angell James,https://archive.org/download/churchinearnest00jamegoog/churchinearnest00jamegoog_djvu.txt,Christian Living,John Angell James Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Practical public-domain Christian living and church life resource for believers, teachers, and ministry workers. OCR text should be spot-checked before quotation.",1850,churchinearnest00jamegoog,John Angell James Collection,
150,"The Family Monitor; or, A Help to Domestic Happiness",John Angell James,https://archive.org/download/familymonitoror02jamegoog/familymonitoror02jamegoog_djvu.txt,Christian Living,Family and Home,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain family and Christian home resource for practical discipleship and pastoral helps. OCR text should be spot-checked before quotation.,1830,familymonitoror02jamegoog,Family and Home,
150,"Christian Fellowship; or, The Church Members' Guide",John Angell James,https://archive.org/download/bub_gb_1HX1UXh7-UEC/bub_gb_1HX1UXh7-UEC_djvu.txt,Christian Living,Church Life and Discipleship,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain church membership and fellowship resource for local church discipleship. OCR text should be spot-checked before quotation.,1830,bub_gb_1HX1UXh7-UEC,Church Life and Discipleship,
150,The Travels of True Godliness,Benjamin Keach,https://archive.org/download/travelstruegodl00keacgoog/travelstruegodl00keacgoog_djvu.txt,Christian Living,Early Baptist Writers,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain Baptist allegorical and devotional resource for Christian living. Use with historical context and OCR spot-check before quotation.,1845,travelstruegodl00keacgoog,Early Baptist Writers,
150,Tropologia: A Key to Open Scripture Metaphors,Benjamin Keach,https://archive.org/download/gtropologaakeyt00keacgoog/gtropologaakeyt00keacgoog_djvu.txt,Bible study helps,Early Baptist Writers,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain Bible interpretation and Scripture metaphor resource for teachers and serious Bible students. Use with historical context and OCR spot-check before quotation.,1858,gtropologaakeyt00keacgoog,Early Baptist Writers,
150,The Life of Jesus Christ,James Stalker,https://archive.org/download/lifejesuschrist00stalgoog/lifejesuschrist00stalgoog_djvu.txt,Bible study helps,Life of Christ,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Life of Christ resource for Gospel study, teaching, and sermon preparation. OCR text should be spot-checked before quotation.",1880,lifejesuschrist00stalgoog,Life of Christ,
150,The Life of St. Paul,James Stalker,https://archive.org/download/lifestpaul00stalgoog/lifestpaul00stalgoog_djvu.txt,Bible study helps,Bible Biography,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Bible biography resource for Acts, Pauline epistles, missions, and teaching preparation. OCR text should be spot-checked before quotation.",1912,lifestpaul00stalgoog,Bible Biography,
150,The Psalm of Psalms: Being an Exposition of the Twenty-third Psalm,James Stalker,https://archive.org/download/psalmpsalmsbein00stalgoog/psalmpsalmsbein00stalgoog_djvu.txt,Commentaries,Psalm 23 Study,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Psalm 23 exposition for devotional study, teaching, and sermon preparation. OCR text should be spot-checked before quotation.",1913,psalmpsalmsbein00stalgoog,Psalm 23 Study,
150,Keys to the Word: Help to Bible Study,A. T. Pierson,https://archive.org/download/keystowordhelpto0000atpi/keystowordhelpto0000atpi_djvu.txt,Bible study helps,Bible Study Methods,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain Bible study methods resource for helping readers study Scripture more fruitfully. OCR text should be spot-checked before quotation.,1887,keystowordhelpto0000atpi,Bible Study Methods,
150,Autobiography of George Müller,George Müller,https://archive.org/download/autobiography-of-george-muller/autobiography-of-george-muller_djvu.txt,Missions,George Müller Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain prayer, faith, and missions biography resource. OCR text should be spot-checked before quotation.",1905,autobiography-of-george-muller,George Müller Collection,
150,How God Answers Prayer,George Muller,https://archive.org/download/howgodanswerspra0000mlle/howgodanswerspra0000mlle_djvu.txt,Prayer,George Müller Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain prayer and faith resource drawn from George Müller’s testimony. OCR text should be spot-checked before quotation.,1900,howgodanswerspra0000mlle,George Müller Collection,
150,The Wonders of Prayer,Daniel W. Whittle and George Müller,https://archive.org/download/wondersprayerar00mlgoog/wondersprayerar00mlgoog_djvu.txt,Prayer,Prayer Classics,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain collection of answered prayer accounts for devotional reading and sermon illustrations. OCR text should be spot-checked before quotation.,1885,wondersprayerar00mlgoog,Prayer Classics,
150,The Preaching Tours and Missionary Labours of George Müller,George Müller,https://archive.org/download/preachingtoursa00mlgoog/preachingtoursa00mlgoog_djvu.txt,Missions,George Müller Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain missions and ministry biography resource for prayer, faith, and missionary burden. OCR text should be spot-checked before quotation.",1889,preachingtoursa00mlgoog,George Müller Collection,
150,An Essay on Anger,John Fawcett,https://archive.org/download/anessayonanger00fawcgoog/anessayonanger00fawcgoog_djvu.txt,Christian Living,Baptist Practical Theology,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain practical Christian living resource dealing with anger and self-control. Use with historical context and OCR spot-check before quotation.,1824,anessayonanger00fawcgoog,Baptist Practical Theology,
150,Christ Precious to Those That Believe,John Fawcett,https://archive.org/download/christpreciousto0000john/christpreciousto0000john_djvu.txt,Christian Living,Baptist Practical Theology,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain Baptist devotional resource on faith and love to Christ. Use with historical context and OCR spot-check before quotation.,1839,christpreciousto0000john,Baptist Practical Theology,
150,Hymns Adapted to Public Worship and Private Devotion,John Fawcett,https://archive.org/download/per_early-baptist_hymns-adapted-to-the-ci_john-fawcett_1817/per_early-baptist_hymns-adapted-to-the-ci_john-fawcett_1817_djvu.txt,Prayer,Baptist Hymn Writers,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Baptist hymn resource for worship history, quotes, and devotional reading. OCR text should be spot-checked before quotation.",1817,per_early-baptist_hymns-adapted-to-the-ci_john-fawcett_1817,Baptist Hymn Writers,
150,A Short View of the Whole Scripture History,Isaac Watts,https://archive.org/download/ashortviewwhole01wattgoog/ashortviewwhole01wattgoog_djvu.txt,Bible Handbooks,Bible Survey,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain Bible survey and Scripture history resource for Bible overview study. OCR text should be spot-checked before quotation.,1767,ashortviewwhole01wattgoog,Bible Survey,
150,"Sermons on Various Subjects, Divine and Moral",Isaac Watts,https://archive.org/download/sermonsonvariou01wattgoog/sermonsonvariou01wattgoog_djvu.txt,Preaching & Teaching,Watts Sermons and Hymns,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain sermon and hymn resource for preaching history and devotional reading. OCR text should be spot-checked before quotation.,1811,sermonsonvariou01wattgoog,Watts Sermons and Hymns,
